"activity","imageID","image","oocyte","area","mean","n_pixels","cum_intensity","cum_int_wo_bgd","oocyte_vol","relative_conc_um3"
"active","SUM_raw_worm4_Airyscan Processing_exp2","SUM_raw_worm4_Airyscan Processing","oocyte_5",466.026,31.5261,103530,3263901,-253290.587322695,2563.14378394781,0
"active","SUM_raw_worm5_Airyscan Processing_exp2","SUM_raw_worm5_Airyscan Processing","oocyte_1",1045.0136,117.4708,232155,27271438,23779662.8371011,5747.57698408581,4137.33698616712
"active","SUM_raw_worm5_Airyscan Processing_exp2","SUM_raw_worm5_Airyscan Processing","oocyte_2",694.8662,63.5385,154368,9808311,7486507.25531915,3821.76547513238,1958.91330957712
"active","SUM_raw_worm5_Airyscan Processing_exp2","SUM_raw_worm5_Airyscan Processing","oocyte_3",615.7188,25.9427,136785,3548576,1491232.9935727,3386.4543850797,440.352304800822
"active","SUM_raw_worm5_Airyscan Processing_exp2","SUM_raw_worm5_Airyscan Processing","oocyte_4",460.8224,19.4669,102374,1992900,453122.736849882,2534.52411608107,178.780203342673
"active","SUM_raw_worm6_Airyscan Processing_exp2","SUM_raw_worm6_Airyscan Processing","oocyte_1",1250.9509,107.6487,277905,29916122,24150714.2320479,6880.23252465967,3510.15959787529
"active","SUM_raw_worm6_Airyscan Processing_exp2","SUM_raw_worm6_Airyscan Processing","oocyte_2",678.1211,46.5242,150648,7008777,3883438.66702128,3729.66758199719,1041.22916631131
"active","SUM_raw_worm6_Airyscan Processing_exp2","SUM_raw_worm6_Airyscan Processing","oocyte_3",690.5584,21.1736,153411,3248260,65600.5621010638,3798.07254939841,17.2720666200688
"active","SUM_raw_worm6_Airyscan Processing_exp2","SUM_raw_worm6_Airyscan Processing","oocyte_4",502.352,16.7894,111600,1873695,-441554.840425532,2762.93679405559,0
"active","SUM_raw_worm6_Airyscan Processing_exp2","SUM_raw_worm6_Airyscan Processing","oocyte_5",261.25,16.3294,58038,947726,-256328.392819149,1436.87567789784,0
"active","SUM_raw_worm7_Airyscan Processing_exp2","SUM_raw_worm7_Airyscan Processing","oocyte_1",1019.2343,57.1331,226428,12936523,8069241.03102837,5605.7907921543,1439.44740897606
"active","SUM_raw_worm7_Airyscan Processing_exp2","SUM_raw_worm7_Airyscan Processing","oocyte_2",643.1996,16.6169,142890,2374393,-697161.403812057,3537.59891131365,0
"active","SUM_raw_worm7_Airyscan Processing_exp2","SUM_raw_worm7_Airyscan Processing","oocyte_3",601.8366,10.5741,133701,1413774,-1460254.24091312,3310.10226077085,0
"active","SUM_raw_worm7_Airyscan Processing_exp2","SUM_raw_worm7_Airyscan Processing","oocyte_4",476.1405,12.8649,105777,1360812,-912963.702792553,2618.77388230124,0
"active","SUM_raw_worm8_Airyscan Processing_exp2","SUM_raw_worm8_Airyscan Processing","oocyte_1",1204.2538,120.9413,267531,32355540,23697362.4626773,6623.39823880364,3577.82540144493
"active","SUM_raw_worm8_Airyscan Processing_exp2","SUM_raw_worm8_Airyscan Processing","oocyte_2",573.5635,52.0213,127420,6628554,2504826.35047281,3154.60041486168,794.023337685588
"active","SUM_raw_worm8_Airyscan Processing_exp2","SUM_raw_worm8_Airyscan Processing","oocyte_3",689.9597,37.1533,153278,5694779,734201.95821513,3794.77980214385,193.476827772812
"active","SUM_raw_worm8_Airyscan Processing_exp2","SUM_raw_worm8_Airyscan Processing","oocyte_4",549.4092,46.7569,122054,5706870,1756803.64828605,3021.75167976399,581.385843201803
"active","SUM_raw_worm8_Airyscan Processing_exp2","SUM_raw_worm8_Airyscan Processing","oocyte_5",503.7969,30.9347,111921,3462242,-159887.353812056,2770.88395096323,0
"active","SUM_raw_worm9_Airyscan Processing_exp2","SUM_raw_worm9_Airyscan Processing","oocyte_1",852.1483,164.6774,189309,31174911,23707938.0448138,4686.81721815296,5058.43026115641
"active","SUM_raw_worm9_Airyscan Processing_exp2","SUM_raw_worm9_Airyscan Processing","oocyte_2",589.5748,90.1524,130977,11807894,6641728.01343085,3242.66283579766,2048.23268707092
"active","SUM_raw_worm9_Airyscan Processing_exp2","SUM_raw_worm9_Airyscan Processing","oocyte_3",383.7456,48.0343,85251,4094976,732394.65731383,2110.60147517951,347.007554920589
"quiescent","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_1",494.4476,163.5873,109844,17969085,10538075.1033688,2719.46262729608,3875.05788739103
"quiescent","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_2",356.1882,149.7725,79129,11851348,6498225.55261525,1959.03607147693,3317.05252763223
"quiescent","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_3",347.7752,128.3752,77260,9918269,4691585.47960993,1912.76430742594,2452.77761687404
"quiescent","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_4",324.1386,107.9454,72009,7773041,2901590.65545213,1782.76268461603,1627.58099016251
"quiescent","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_5",387.0136,104.9075,85977,9019629,3203235.40651596,2128.57541883976,1504.8728732675
"quiescent","SUM_raw_worm10_Airyscan Processing_exp1","SUM_raw_worm10_Airyscan Processing","oocyte_6",394.4723,87.9284,87634,7705515,1777024.4016844,2169.59859328197,819.056763397084
"quiescent","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_1",317.6026,221.6166,70557,15636605,11805715.395523,1746.81479729552,6758.42419803235
"quiescent","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_2",333.7715,195.3739,74149,14486778,10460860.8935136,1835.74373066692,5698.43204079101
"quiescent","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_3",324.9713,129.447,72194,9345297,5425526.54341017,1787.34282177464,3035.52652424184
"quiescent","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_4",286.8943,93.2844,63735,5945480,2484990.62344858,1577.91914488471,1574.85295206945
"quiescent","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_5",344.9483,68.8541,76632,5276426,1115694.50390071,1897.21659858484,588.069124386178
"quiescent","SUM_raw_worm11_Airyscan Processing_exp1","SUM_raw_worm11_Airyscan Processing","oocyte_6",379.4558,73.5458,84298,6199763,1622806.32839835,2087.00757943816,777.575675520652
"quiescent","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_1",535.473,125.8594,118958,14971981,10574818.4019799,2945.10246547729,3590.64532590588
"quiescent","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_2",377.7498,99.3434,83919,8336801,5234819.72876773,2077.62448763756,2519.61784235619
"quiescent","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_3",351.8084,92.7981,78156,7252728,4363770.21648936,1934.94702577248,2255.24014785223
"quiescent","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_4",319.0205,72.2486,70872,5120400,2500687.93652482,1754.61340921423,1425.20735530268
"quiescent","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_5",278.4452,65.7308,61858,4065973,1779454.36326832,1531.44932084848,1161.94139697841
"quiescent","SUM_raw_worm1_Airyscan Processing_exp1","SUM_raw_worm1_Airyscan Processing","oocyte_6",317.5215,56.8419,70539,4009572,1402168.94596631,1746.36916232874,802.90523688391
"quiescent","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_1",205.7572,418.4242,45710,19126169,16487368.7916667,1131.66524064768,14569.1218564162
"quiescent","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_2",366.5909,179.4168,81440,14611701,9910237.66666667,2016.25064971225,4915.18138783042
"quiescent","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_3",327.4741,144.8343,72750,10536695,6336898.125,1801.10799074861,3518.33324683999
"quiescent","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_4",317.427,110.6498,70518,7802805,3731859.625,1745.84925486749,2137.56119813634
"quiescent","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_5",338.2098,101.6621,75135,7638380,3300899.0625,1860.15462384737,1774.52939674054
"quiescent","SUM_raw_worm2_Airyscan Processing_exp1","SUM_raw_worm2_Airyscan Processing","oocyte_6",353.4604,96.9325,78523,7611427,3078359.64583333,1944.03302759523,1583.49143360042
"quiescent","SUM_raw_worm3_Airyscan Processing_exp1","SUM_raw_worm3_Airyscan Processing","oocyte_1",344.4082,258.1576,76512,19752151,15681953.3957447,1894.24569880629,8278.73248207829
"quiescent","SUM_raw_worm3_Airyscan Processing_exp1","SUM_raw_worm3_Airyscan Processing","oocyte_2",217.7579,114.6575,48376,5546672,2973221.04716312,1197.6687307279,2482.50703293899
"quiescent","SUM_raw_worm3_Airyscan Processing_exp1","SUM_raw_worm3_Airyscan Processing","oocyte_3",295.5864,128.9762,65666,8469349,4976124.46161348,1625.72587382128,3060.86317610057
"quiescent","SUM_raw_worm3_Airyscan Processing_exp1","SUM_raw_worm3_Airyscan Processing","oocyte_4",328.8605,110.6781,73058,8085923,4199467.32544326,1808.73330018023,2321.77254934424
